Facility ID,Facility_Name_,State_,Excess_Readmission_Ratio_READM30AMIHRRP,Excess_Readmission_Ratio_READM30CABGHRRP,Excess_Readmission_Ratio_READM30COPDHRRP,Excess_Readmission_Ratio_READM30HFHRRP,Excess_Readmission_Ratio_READM30HIPKNEEHRRP,Excess_Readmission_Ratio_READM30PNHRRP,Expected_Readmission_Rate_READM30AMIHRRP,Expected_Readmission_Rate_READM30CABGHRRP,Expected_Readmission_Rate_READM30COPDHRRP,Expected_Readmission_Rate_READM30HFHRRP,Expected_Readmission_Rate_READM30HIPKNEEHRRP,Expected_Readmission_Rate_READM30PNHRRP,Number_of_Readmissions_READM30AMIHRRP,Number_of_Readmissions_READM30CABGHRRP,Number_of_Readmissions_READM30COPDHRRP,Number_of_Readmissions_READM30HFHRRP,Number_of_Readmissions_READM30HIPKNEEHRRP,Number_of_Readmissions_READM30PNHRRP,Predicted_Readmission_Rate_READM30AMIHRRP,Predicted_Readmission_Rate_READM30CABGHRRP,Predicted_Readmission_Rate_READM30COPDHRRP,Predicted_Readmission_Rate_READM30HFHRRP,Predicted_Readmission_Rate_READM30HIPKNEEHRRP,Predicted_Readmission_Rate_READM30PNHRRP,Infection_Catheter_Associated_Urinary_Tract_Infections_(ICU_+_select_Wards),Infection_Catheter_Associated_Urinary_Tract_Infections_(ICU_+_select_Wards):_Lower_Confidence_Limit,Infection_Catheter_Associated_Urinary_Tract_Infections_(ICU_+_select_Wards):_Number_of_Urinary_Catheter_Days,Infection_Catheter_Associated_Urinary_Tract_Infections_(ICU_+_select_Wards):_Observed_Cases,Infection_Catheter_Associated_Urinary_Tract_Infections_(ICU_+_select_Wards):_Predicted_Cases,Infection_Catheter_Associated_Urinary_Tract_Infections_(ICU_+_select_Wards):_Upper_Confidence_Limit,Infection_Central_Line_Associated_Bloodstream_Infection_(ICU_+_select_Wards),Infection_Central_Line_Associated_Bloodstream_Infection_(ICU_+_select_Wards):_Lower_Confidence_Limit,Infection_Central_Line_Associated_Bloodstream_Infection_(ICU_+_select_Wards):_Observed_Cases,Infection_Central_Line_Associated_Bloodstream_Infection_(ICU_+_select_Wards):_Predicted_Cases,Infection_Central_Line_Associated_Bloodstream_Infection_(ICU_+_select_Wards):_Upper_Confidence_Limit,Infection_Central_Line_Associated_Bloodstream_Infection:_Number_of_Device_Days,Infection_Clostridium_Difficile_(C.Diff),Infection_Clostridium_Difficile_(C.Diff):_Lower_Confidence_Limit,Infection_Clostridium_Difficile_(C.Diff):_Observed_Cases,Infection_Clostridium_Difficile_(C.Diff):_Patient_Days,Infection_Clostridium_Difficile_(C.Diff):_Predicted_Cases,Infection_Clostridium_Difficile_(C.Diff):_Upper_Confidence_Limit,Infection_MRSA_Bacteremia,Infection_MRSA_Bacteremia:_Lower_Confidence_Limit,Infection_MRSA_Bacteremia:_Observed_Cases,Infection_MRSA_Bacteremia:_Patient_Days,Infection_MRSA_Bacteremia:_Predicted_Cases,Infection_MRSA_Bacteremia:_Upper_Confidence_Limit,Infection_SSI__Abdominal_Hysterectomy,Infection_SSI__Abdominal_Hysterectomy:_Lower_Confidence_Limit,Infection_SSI__Abdominal_Hysterectomy:_Number_of_Procedures,Infection_SSI__Abdominal_Hysterectomy:_Observed_Cases,Infection_SSI__Abdominal_Hysterectomy:_Predicted_Cases,Infection_SSI__Abdominal_Hysterectomy:_Upper_Confidence_Limit,Infection_SSI__Colon_Surgery,Infection_SSI__Colon_Surgery:_Lower_Confidence_Limit,Infection_SSI__Colon_Surgery:_Number_of_Procedures,Infection_SSI__Colon_Surgery:_Observed_Cases,Infection_SSI__Colon_Surgery:_Predicted_Cases,Infection_SSI__Colon_Surgery:_Upper_Confidence_Limit,ZIP Code,ADI_National_Rank,ADI_State_Rank
10035,CULLMAN REGIONAL MEDICAL CENTER,AL,0.9979,,1.0458,1.018,1.0057,1.0465,12.4695,,17.7427,18.4048,4.5641,14.888,,,25.0,70.0,,68.0,12.4436,,18.5561,18.7366,4.5902,15.5805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10036,ANDALUSIA HEALTH,AL,,,0.9661,1.0267,1.2033,1.0138,,,21.0259,21.4955,4.9522,15.8097,,,,37.0,,24.0,,,20.3127,22.0685,5.9589,16.0281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10039,HUNTSVILLE HOSPITAL,AL,0.9251,0.8656,1.0004,0.9752,1.2959,0.9728,11.8866,9.7862,17.3585,19.6017,4.8727,15.4836,65.0,18.0,74.0,241.0,14.0,200.0,10.9967,8.4711,17.3653,19.115,6.3147,15.0627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10040,GADSDEN REGIONAL MEDICAL CENTER,AL,0.9817,1.0777,0.9886,0.9818,1.0242,0.9714,13.8013,10.8319,18.4675,21.8117,6.0027,17.0766,17.0,,17.0,49.0,,37.0,13.5491,11.6737,18.2568,21.4155,6.1477,16.5879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10044,MARION REGIONAL MEDICAL CENTER,AL,,,,0.9562,,0.9492,,,,18.0484,,15.339,,,,,,,,,,17.2586,,14.5598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10045,FAYETTE MEDICAL CENTER,AL,,,1.0488,0.9855,,0.9883,,,15.8337,16.5804,,13.4426,,,,,,,,,16.6064,16.3397,,13.2847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,0.9659,,1.048,1.0925,,1.0904,14.9503,,18.6208,22.0606,,17.2133,,,23.0,75.0,,58.0,14.4405,,19.5145,24.1014,,18.7699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10049,MEDICAL CENTER ENTERPRISE,AL,,,1.0438,1.0285,0.89,1.0465,,,16.8909,18.1807,4.2178,14.4573,,,13.0,21.0,,26.0,,,17.6314,18.698,3.7537,15.1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10052,LAKE MARTIN COMMUNITY HOSPITAL,AL,,,,,,1.0435,,,,,,15.8735,,,,,,,,,,,,16.5639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10055,FLOWERS HOSPITAL,AL,1.0867,1.1755,0.9486,0.9641,1.2633,1.0004,11.9315,10.7725,19.5012,19.0039,4.4937,15.3965,38.0,16.0,20.0,57.0,,47.0,12.9663,12.6626,18.4986,18.3209,5.6766,15.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10056,ST VINCENT'S BIRMINGHAM,AL,1.0215,1.1313,0.9772,0.9489,0.9213,1.037,12.3975,10.9421,16.7206,19.605,4.7531,15.608,20.0,16.0,12.0,78.0,,68.0,12.6646,12.3784,16.3394,18.6041,4.3789,16.1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10058,BIBB MEDICAL CENTER,AL,,,,,,0.9402,,,,,,14.7021,,,,,,,,,,,,13.8224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10059,LAWRENCE MEDICAL CENTER,AL,,,,,,0.9772,,,,,,17.1996,,,,,,,,,,,,16.8082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10061,HIGHLANDS MEDICAL CENTER,AL,,,0.998,0.9393,,0.9658,,,17.4086,17.6268,,15.5882,,,,,,15.0,,,17.373,16.5564,,15.0548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,WIREGRASS MEDICAL CENTER,AL,,,,,,0.9722,,,,,,15.9792,,,,,,,,,,,,15.5356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10065,RUSSELL MEDICAL CENTER,AL,1.0115,,1.0035,0.9604,0.8537,0.9314,13.1753,,15.2076,19.74,6.7918,15.7145,,,,15.0,,,13.3263,,15.2603,18.9587,5.7981,14.6363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10069,MEDICAL CENTER BARBOUR,AL,,,,1.0252,,0.9433,,,,18.1084,,12.5023,,,,,,,,,,18.5654,,11.7933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10073,CLAY COUNTY HOSPITAL,AL,,,,,,0.9695,,,,,,13.3516,,,,,,,,,,,,12.9448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,1.1409,,0.8528,1.035,1.2908,0.9644,14.9585,,19.6126,20.0534,4.265,16.6898,40.0,,22.0,67.0,13.0,41.0,17.0661,,16.7256,20.7547,5.5052,16.0961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10079,ATHENS LIMESTONE HOSPITAL,AL,,,1.0135,0.9989,1.061,1.0464,,,18.0322,19.2744,4.5697,14.4197,,,20.0,29.0,,30.0,,,18.2752,19.254,4.8484,15.0886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,1.018,,0.9495,1.0014,1.1909,0.984,12.316,,17.3629,19.433,4.9315,15.5437,15.0,,16.0,54.0,,39.0,12.5378,,16.4861,19.4598,5.8732,15.2954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,0.9633,,1.0403,0.9652,1.1523,0.9726,16.4458,,16.3374,19.3369,6.2677,15.389,,,26.0,72.0,,64.0,15.8423,,16.9957,18.6643,7.2224,14.9667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10086,NORTHWEST MEDICAL CENTER,AL,,,0.9167,0.9898,,0.925,,,18.1026,18.8311,,15.0819,,,,,,,,,16.5953,18.6386,,13.9501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10087,USA HEALTH UNIVERSITY HOSPITAL,AL,0.9903,,,1.0023,,0.9676,14.0111,,,19.1689,,17.4727,,,,,,,13.8751,,,19.2135,,16.9059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10089,WALKER BAPTIST MEDICAL CENTER,AL,,,1.0075,1.0249,,0.9149,,,17.7313,18.5589,,15.4442,,,16.0,31.0,,16.0,,,17.8648,19.0211,,14.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,1.0685,0.997,0.9523,0.9687,0.9585,1.1009,12.0927,10.1274,16.2994,19.1392,4.6234,15.7677,23.0,,12.0,61.0,,56.0,12.921,10.0973,15.5225,18.541,4.4314,17.3591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10092,DCH REGIONAL MEDICAL CENTER,AL,1.0291,1.0061,1.1361,0.9813,1.1877,1.1388,12.1604,9.6976,18.3429,18.9006,4.9856,15.8669,23.0,,73.0,125.0,,118.0,12.5146,9.7563,20.8401,18.5476,5.9217,18.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10097,ELMORE COMMUNITY HOSPITAL,AL,,,,,,1.0172,,,,,,12.6968,,,,,,,,,,,,12.9151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10099,D W MCMILLAN MEMORIAL HOSPITAL,AL,,,,0.993,,0.9716,,,,17.5202,,13.8999,,,,,,,,,,17.397,,13.5046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100,THOMAS HOSPITAL,AL,0.9548,0.9432,1.063,1.0359,0.8863,1.0643,11.3148,10.4479,18.1012,19.2259,4.8015,14.7909,13.0,18.0,19.0,69.0,,58.0,10.8037,9.8544,19.2411,19.9162,4.2558,15.7419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101,CITIZENS BAPTIST MEDICAL CENTER,AL,,,,1.0714,,1.1244,,,,18.9613,,14.6165,,,,15.0,,17.0,,,,20.3155,,16.4345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103,PRINCETON BAPTIST MEDICAL CENTER,AL,1.0055,1.0605,0.9694,0.9504,0.9928,0.9766,14.5749,10.9158,18.3119,20.0595,5.192,17.5261,18.0,,,38.0,,16.0,14.6549,11.5758,17.7506,19.064,5.1548,17.1164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104,GRANDVIEW MEDICAL CENTER,AL,1.0593,1.1821,1.004,1.0208,1.0159,0.9621,13.7765,10.9002,18.5979,20.2372,4.5504,16.3387,33.0,20.0,29.0,125.0,18.0,51.0,14.5933,12.8849,18.6724,20.6583,4.6229,15.7195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10108,PRATTVILLE BAPTIST HOSPITAL,AL,,,0.9658,1.0382,,0.925,,,17.7835,19.2489,,15.3376,,,13.0,34.0,,15.0,,,17.1758,19.9833,,14.1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112,WHITFIELD REGIONAL HOSPITAL,AL,,,,0.982,,0.9343,,,,20.5102,,17.605,,,,12.0,,,,,,20.1405,,16.4488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10113,MOBILE INFIRMARY MEDICAL CENTER,AL,1.0816,1.1177,1.0694,0.9835,0.9279,0.9485,13.6835,10.1641,18.4657,20.2785,4.3619,16.2515,27.0,,33.0,77.0,,57.0,14.8,11.3608,19.7481,19.9434,4.0475,15.4143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,,,0.9697,0.9338,,1.0069,,,18.751,20.5857,,15.2823,,,,14.0,,24.0,,,18.1823,19.2231,,15.3873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,,,0.9633,0.9398,,1.0289,,,16.3253,19.022,,16.4051,,,,,,21.0,,,15.7255,17.8762,,16.8791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,MONROE COUNTY HOSPITAL,AL,,,,0.9913,,1.0142,,,,15.9345,,11.9702,,,,,,,,,,15.7964,,12.1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10125,LAKELAND COMMUNITY HOSPITAL,AL,,,0.9396,0.9998,,0.9691,,,15.9582,15.8296,,12.9055,,,,,,33.0,,,14.9942,15.8263,,12.5063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10126,TROY REGIONAL MEDICAL CENTER,AL,,,,1.0713,,1.0148,,,,16.9269,,13.2684,,,,12.0,,,,,,18.1344,,13.4647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10128,JACKSON MEDICAL CENTER,AL,,,,1.0057,,1.0242,,,,14.4268,,11.7247,,,,,,,,,,14.5095,,12.0087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,NORTH BALDWIN INFIRMARY,AL,,,,0.9521,,1.1074,,,,19.4777,,14.0371,,,,,,14.0,,,,18.5441,,15.5449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130,ST VINCENT'S ST CLAIR,AL,,,0.9861,0.9977,,1.0309,,,16.5261,16.9474,,14.5006,,,,11.0,,21.0,,,16.2969,16.9077,,14.9494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131,CRESTWOOD MEDICAL CENTER,AL,1.0767,,1.0147,1.0574,0.9839,1.0566,13.1056,,16.3904,19.4019,3.8792,14.8591,23.0,,16.0,61.0,,58.0,14.1115,,16.631,20.5165,3.8166,15.7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10139,BROOKWOOD BAPTIST MEDICAL CENTER,AL,1.0068,0.9585,0.9809,1.0234,,1.0121,13.3295,11.791,18.2197,19.5259,,15.313,12.0,,,30.0,,27.0,13.4205,11.3021,17.8718,19.9828,,15.4982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144,SPRINGHILL MEDICAL CENTER,AL,1.04,1.0428,1.0617,0.9707,0.9914,1.0317,12.7653,10.58,15.8151,19.8175,4.3449,15.6582,,,17.0,46.0,,32.0,13.2764,11.0328,16.7902,19.2361,4.3073,16.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148,EVERGREEN MEDICAL CENTER,AL,,,0.9766,1.0356,,0.9943,,,13.3443,15.079,,12.7009,,,,12.0,,11.0,,,13.032,15.6152,,12.6285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10149,BAPTIST MEDICAL CENTER EAST,AL,,,0.9357,1.039,,1.0643,,,19.0746,18.9199,,15.645,,,,54.0,,38.0,,,17.8477,19.6579,,16.6513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,AL,,,,0.9832,,,,,,17.5004,,,,,,,,,,,,17.2061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158,RUSSELLVILLE HOSPITAL,AL,,,0.9592,,1.2367,1.0351,,,17.1627,,5.7202,14.4086,,,,,,16.0,,,16.4621,,7.0744,14.9143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164,COOSA VALLEY MEDICAL CENTER,AL,,,0.9639,1.0049,,1.0679,,,14.5053,17.0024,,14.5148,,,,14.0,,18.0,,,13.9811,17.0856,,15.5005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10168,JACK HUGHSTON MEMORIAL HOSPITAL,AL,,,,,0.9706,,,,,,4.1157,,,,,,18.0,,,,,,3.9949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10169,ATMORE COMMUNITY HOSPITAL,AL,,,0.9784,1.082,,,,,13.226,17.298,,,,,,14.0,,,,,12.9407,18.7173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10173,ST VINCENT'S CHILTON,AL,,,,,,0.9545,,,,,,12.3498,,,,,,,,,,,,11.7881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10175,EAMC-LANIER,AL,,,,,,0.9738,,,,,,14.2843,,,,,,,,,,,,13.9095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,PROVIDENCE ALASKA MEDICAL CENTER,AK,0.8554,0.8862,0.9224,0.8824,1.1568,1.0138,11.9592,9.8981,19.4162,19.2457,4.5189,15.0018,38.0,,19.0,70.0,,33.0,10.2297,8.7719,17.9091,16.9831,5.2275,15.2087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20006,MAT-SU REGIONAL MEDICAL CENTER,AK,1.0116,,0.9378,0.941,1.344,0.9206,12.8224,,18.8272,20.2012,5.294,16.6012,20.0,,13.0,40.0,,36.0,12.9706,,17.6569,19.0093,7.1153,15.2835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
